Poet,Author_ID,Poem_ID,Title,Lyrics
Μανόλης Αναγνωστάκης,1,4,Χειμώνας 1942,"Ξημέρωσεν ο δείχτης πάλι Κυριακή.
Εφτά μέρες
Η μια πάνω απ’ την άλλη
Δεμένες
Ολόιδιες
Σα χάντρες κατάμαυρες
Κομπολογιών του Σεμινάριου.
Μια, τέσσερις, πενηνταδυό.
Έξι μέρες όλες για μια
Έξι μέρες αναμονή
Έξι μέρες σκέψη
Για μια μέρα
Μόνο για μια μέρα
Μόνο για μιαν ώρα.
Απόγευμα κι ήλιος.
Ώρες
Ταυτισμένες
Χωρίς συνείδηση
Προσπαθώντας μια λάμψη
Σε φόντο σελίδων
Με πένθιμο χρώμα.
Μια μέρα αμφίβολης χαράς
Ίσως μόνο μιαν ώρα
Λίγες στιγμές.
Το βράδυ αρχίζει πάλι η αναμονή
Πάλι μιαν εβδομάδα, τέσσερις, πενηνταδυό
Σήμερα βρέχει απ’ το πρωί.
Ένα κίτρινο χιονόνερο."
Μανόλης Αναγνωστάκης,1,5,Αναμονή,"Πόσα χρόνια να γυρίσει…
Κι όμως η μυρουδιά της χυμένη παντού
Ξεχασμένη σ’ όλο το δωμάτιο στις πιο απίθανες γωνιές
Σάμπως να ζει ακόμη ανάμεσά μας!
Όμως πρέπει να γύρισε ύστερα από τόσα χρόνια
Αυτές τις ώρες την προσμένω κάθε βράδυ
Σχεδιάζοντας με το μολύβι κόκκινα στόματα απάνω στο χαρτί
Όπως και να ’τανε έπρεπε να τρίξει πάλι η πόρτα
Ας είναι κι απ’ τον άνεμο.
Ας είν’ με δυο ημικύκλια στεγνά πάνω στα χείλη
Στο μέτωπο κατάμαυρες ραβδώσεις
Φτάνει που θά ’ρθει μοναχά ύστερα από χρόνια
Μόνο που θά ’ρθει!…
Σχεδιάζοντας κόκκινα φλογερά στόματα απάνω στο χαρτί.
…Νόμισα πως θα πνιγόμουνα!"
Μανόλης Αναγνωστάκης,1,6,Απροσδιόριστη χρονολογία,"Αυτή η μέρα πέρασε χωρίς καμιάν απόχρωση
Τόσο διαφορετική από τις άλλες μέρες
(Ίσως η απαρχή ομοίων ημερών)
Έσβησεν έτσι ανάλαφρα όπως ήρθε
Χωρίς να παιχνιδίσει ο ήλιος στα κλαδιά
Τράβηξε τις κουρτίνες της με διάκρισην η νύχτα.
Μια μέρα τόσο διάφορη απ’ τις άλλες
Χωρίς τα σύμβολα του «πλην» και του «συν» π’ αυλακώνουν τη σκέψη
Χωρίς να βαραίνει καν τη ζυγαριά της μνήμης
Πες σα μια σαπουνόφουσκα που τρυπήσαμε με την καρφίτσα
Σαν τον καπνό τσιγάρου χωρίς άρωμα.
Έτσι έπεσε ένα φύλλο από το καλαντάρι
Δίχως τον παραμικρότερο ήχο
(Χάθηκε και δεν ψάξαμε να το βρούμε)
Έμεινε το συρτάρι μας όπως τ’ αφήσαμε.
Ίσως —λες— πως δεν ήτανε καν μια μέρα
Μόνο που σήμερα φωνάζουν αρνητικά οι αριθμοί
Το ρολόι γυρισμένο ένα ακόμα εικοσιτετράωρο
—Λες— πως περάσαμε ασυνείδητα τα μεσάνυχτα
Έναν ολόισιο ασφαλτοστρωμένο δρόμο."
Μανόλης Αναγνωστάκης,1,7,Θά ’ρθει μια μέρα…,"Θά ’ρθει μια μέρα που δε θα ’χουμε πια τί να πούμε
Θα καθόμαστε απέναντι και θα κοιταζόμαστε στα μάτια
Η σιωπή μου θα λέει: Πόσο είσαι όμορφη, μα δε βρίσκω άλλο τρόπο να σ’ το πω
Θα ταξιδέψουμε κάπου, έτσι από ανία ή για να πούμε πως κι εμείς ταξιδέψαμε.
Ο κόσμος ψάχνει σ’ όλη του τη ζωή να βρει τουλάχιστο τον έρωτα, μα δε βρίσκει τίποτα.
Σκέφτομαι συχνά πως η ζωή μας είναι τόσο μικρή που δεν αξίζει καν να την αρχίσει κανείς.
Απ’ την Αθήνα θα πάω στο Μοντεβίδεο ίσως και στη Σαγκάη· είναι κάτι κι αυτό δεν μπορείς να το αμφισβητήσεις.
Καπνίσαμε —θυμήσου— ατέλειωτα τσιγάρα συζητώντας ένα βράδυ
—Ξεχνώ πάνω σε τί— κι είναι κρίμα γιατί ήταν τόσο μα τόσο ενδιαφέρον.
Μια μέρα, ας ήτανε, να φύγω μακριά σου αλλά κι εκεί θά ’ρθεις και θα με ζητήσεις
Δεν μπορεί, Θε μου, να φύγει κανείς ποτέ μοναχός του.
Τον πρώτο Μάρτη, στον πόλεμο, γνώρισα έναν Εγγλέζο θερμαστή
Που μου διηγήθηκεν ολόκληρη την ιστορία του Σαμ Ντέυλαν
«Είναι αργά» μου είπε κάποτε «θα ’πρεπε πια να πηγαίνουμε
Μα δεν είναι ανάγκη επιτέλους να κλαίτε τόσο πολύ για έναν άνθρωπο που σκοτώθηκε.
Πέθανε στην αγκαλιά μου και ψιθύριζε ένα γυναικείο όνομα
Είναι πολύ γελοίο να πεθαίνεις και να ψιθυρίζεις ένα γυναικείο όνομα».
Το μούτρο του άσπριζε παράξενα. Ύστερα δεν τον ξαναείδα."
Μανόλης Αναγνωστάκης,1,8,13.12.43,"Θυμάσαι που σου ’λεγα: όταν σφυρίζουν τα πλοία μην είσαι στο λιμάνι.
Μα η μέρα που έφευγε ήτανε δικιά μας και δε θα θέλαμε ποτέ να την αφήσουμε.
Ένα μαντίλι πικρό θα χαιρετά την ανία του γυρισμού
Κι έβρεχε αλήθεια πολύ κι ήτανε έρημοι οι δρόμοι
Με μια λεπτήν ακαθόριστη χινοπωριάτικη γεύση
Κλεισμένα παράθυρα κι οι άνθρωποι τόσο λησμονημένοι
—Γιατί μας άφησαν όλοι; Γιατί μας άφησαν όλοι;
Κι έσφιγγα τα χέρια σου
Δεν είχε τίποτα τ’ αλλόκοτο η κραυγή μου.
…Θα φύγουμε κάποτε αθόρυβα και θα πλανηθούμε
Μες στις πολύβοες πολιτείες και στις έρημες θάλασσες
Με μιαν επιθυμία φλογισμένη στα χείλια μας
Είναι η αγάπη που γυρέψαμε και μας την αρνήθηκαν
Ξεχνούσες τα δάκρυα, τη χαρά και τη μνήμη μας
Χαιρετώντας λευκά πανιά π’ ανεμίζονται.
Ίσως δε μένει τίποτ’ άλλο παρά αυτό να θυμόμαστε.
Μες στην ψυχή μου σκιρτά το εναγώνιο Γιατί,
Ρουφώ τον αγέρα της μοναξιάς και της εγκατάλειψης
Χτυπώ τους τοίχους της υγρής φυλακής μου και δεν προσμένω απάντηση
Κανείς δε θ’ αγγίξει την έκταση της στοργής και της θλίψης μου.
Κι εσύ περιμένεις ένα γράμμα που δεν έρχεται
Μια μακρινή φωνή γυρνά στη μνήμη σου και σβήνει
Κι ένας καθρέφτης μετρά σκυθρωπός τη μορφή σου
Τη χαμένη μας άγνοια, τα χαμένα φτερά."
Μανόλης Αναγνωστάκης,1,9,Μια ημερομηνία πριν από χρόνια,"Ζήσαμε πάντα σε υγρές κι ανεξερεύνητες παραλίες
Στα σιωπηλά καφενεία με τις ετοιμοθάνατες καρέκλες
Τα σούρουπα έρχονται και ξανάρχονται κι η θάλασσα είν’ ατέλειωτη
Με τα θαμπά καράβια που φεύγουν και πλανιούνται στο σκοτάδι.
Είναι ωραίο και θλιβερό να θυμάσαι τόσα βράδια
Δεμένα μ’ απέραστους καπνούς και με δυο κατάμαυρα μάτια
Κι ένα χέρι που μάκραινε και χαιρετούσε απ’ το λιμάνι
(«Πορτ Σάιδ ‒ Αλεξάνδρεια» στις 20 του Ιούλη)
Ζήσαμε εκείνα τα θλιβερά και μονότονα καλοκαίρια
Κλεισμένοι πίσω από τα σίδερα της θάλασσας
Μετρώντας ένα ένα τα κύματα και τ’ άστρα
Δοσμένοι στην πικρή μας προσμονή.
Άγονες μνήμες.
Τί σκέφτονται όλα αυτά τα καράβια μες στη νύχτα
Που χορεύουν δεμένα τόσα χρόνια και δε γέρασαν
Τυλιγμένα απ’ τις φουρτούνες τόσων και τόσων ταξιδιών
Τί θυμούνται τ’ αναμμένα τροπικά δειλινά
Τα φώτα που λυγίζουν και βουτάνε στο νερό
Τα παιδιά που δεν κοιμούνται και κλαίνε τα βράδια
(«Πορτ Σάιδ ‒ Αλεξάνδρεια» στις 20 του Ιούλη)
Ήταν τα μάτια της θλιμμένα σαν τα καλοκαιριάτικα απογέματα
Κλεισμένα βαθιά στα μυστικά της θάλασσας
Κι ένα χέρι μαλακό και λεπτό σαν τη στοργή
Ένα χέρι μαλακό μπορεί να σε τραβήξει
Τραγουδώντας στα βάθη του πέλαγου στις μακρινές πολιτείες.
Ζήσαμε πάντα στις υγρές κι ανεξερεύνητες παραλίες
Με τη μνήμη πληγωμένη από μάτια και ταξίδια
Δεμένη πίσω απ’ ένα καράβι που δε θα γυρίσει
Μες στους απέραστους καπνούς και τα βραχνά τραγούδια
(«Πορτ Σάιδ ‒ Αλεξάνδρεια» στις 20 του Ιούλη)."
Μανόλης Αναγνωστάκης,1,10,Οι νικημένοι,"Ανάβαλες την τελευταία πάντα μέρα τη φυγή σου
Είχαμε μέσα κι οι δυο μας βαθιά τον πανικό του χωρισμού.
Νοσταλγούσαμε τόσο να χαρίσουμε τις αβέβαιες πλάνες μας στ’ όνειρο
Όμως ποιός δε λογάριασε τα λευκά καλοκαίρια που πληγώσαν τα χρόνια μας
Ποιός δεν επίστεψε πως δεν είχαμε ακόμα πληρώσει το χρέος μας ολάκερο
Και βρίσκουμε την κρίσιμη τούτη στιγμή αιχμάλωτους όρκους στη νιότη μας, αισθήματα πιο πλούσια από τ’ άναμμα της σάρκας
Ξέρεις πως πια ξεχάσαμε τ’ αμέριμνα παιδιά που σπαταλούσαν το γέλιο τους
Ξέρεις πως θά ’ρθει μια μέρα που θα φορέσουμε αλογάριαστα ολόγυμνοι τον εαυτό μας
Συντροφεύοντας τις ακριβές μας αμφιβολίες, ξαγρυπνήσαμε ατέλειωτες νύχτες χωρίς δίπλα μας να ’ναι κανείς ν’ ακούσει την αγωνία της φωνής μας
Αγαπήσαμε μια τρικυμία καινούρια, κι όμως γιατί ν’ αναβάλλουμε πάντα την ώριμη χρονολογία;
Και μένουμε δυο νικημένοι μ’ ολιγόπιστα μάταια φερσίματα."
Μανόλης Αναγνωστάκης,1,11,Αναζήτηση,"Οι πολιτείες ήτανε λευκές, οι νύχτες φορτωμένες βαριές αναμνήσεις
Θολά προμηνύματα για κάποια μακρινά κι αναπότρεπτα ταξίδια
Τώρα πια δε φωνάζω τώρα πια δε σκέφτομαι κάτι σταμάτησε μέσα μου
Μπορώ να δω τη μορφή μου στον καθρέφτη· μπορώ να διακρίνω μια μάσκα χλωμή κι ολότελα ξένη.
Θά ’ρθω μια μέρα, γυμνός απ’ αγάπη και μίσος
Αλύγιστος κι αδυσώπητος, μ’ οδηγό τη σιωπή μου και σύντροφο.
Φίλε: αν νομίζεις πως δεν ήρθα πάλι αργά, δείξε μου κάποιο δρόμο
Εσύ που ξέρεις τουλάχιστον πως γυρεύω ένα τίποτα για να πιστέψω πολύ και να πεθάνω."
Μανόλης Αναγνωστάκης,1,12,Τώρα,"Κι όμως, Δημήτρη, ξανά πίσω δεν πρέπει να γυρίσουμε
Χρέος μας είναι πια να μη γυρίσουμε.
Ας ξανατραγουδήσουμε πάλι εκείνο το τραγούδι που λέγαμε στην αρχή
Ας ξανασκεφτούμε τα ίδια πάλι πράγματα όπως όταν ξεκινήσαμε
Γιατί όλα, ξέρεις, πως τελειώνουνε και μόνο ένα δεν τελειώνει
Γιατί κι η ίδια η ζωή, Δημήτρη, είναι κι αυτή όμορφη
Όσο κι αν έζησε κανείς μέρες πολύ κακές
Όσο κι αν είν’ μοιραίο να τις ζήσει ή κι αν τις ζει ακόμα.
Τώρα που φτάσαμεν εδώ δεν πρέπει να ξαναγυρίσουμε.
Πιο καλά να σταθούμε εδώ, μα όχι πάλι πίσω."
Μανόλης Αναγνωστάκης,1,13,Επιτάφιον,"Εδώ αναπαύεται
Η μόνη ανάπαυση της ζωής του
Η μόνη του στερνή ικανοποίηση
Να κείτεται μαζί με τους αφέντες του
Στην ίδια κρύα γη, στον ίδιο τόπο."
